"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
90 42 1 1.11379553167563 1.13615599247557 0.906648368293164 2.32241335338421 -2.23098161130125 1.72362846538969 0.001 FALSE ""
90 27 2 0.982098998363253 1.36242084837187 0.81544804180863 2.37411983303079 -2.64243700993938 2.33199331955598 0.852046801021925 FALSE ""
70 99 3 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
80 7 4 1.0893009300536 1.18785144097554 1.09143995955262 1.99286689974452 -3.21593256367946 3.21895155154937 0.001 FALSE ""
90 75 5 1.0826966653472 1.39188254624679 0.995960772744181 2.24420148218734 -3.28534927635527 2.84256548506908 0.812953739256829 FALSE ""
70 86 6 0.941151960092034 1.36689212637284 1.13936713054464 1.85453880348462 -2.56401368412997 2.70080800008388 2.17529584406076 FALSE ""
40 8 7 1.20761478700771 1.16696369358424 1.3478716546813 2.00511825145706 -3.20085716960011 2.06341643273593 2.94504139319102 FALSE ""
100 74 8 0.952303425221819 1.31953716540555 0.903155148304138 2.14551424566335 -2.53088167813867 2.51179201293573 1.18748530249987 FALSE ""
70 88 9 1.04434547510295 1.29284614297361 1.13715712818187 1.94955574705809 -2.21174011207506 1.69066889769021 2.78775975460791 FALSE ""
40 10 10 1.12844697761634 1.23772094080234 1.11452087352297 1.94816921119348 -4.02468064101631 3.84973301419379 1.03215572244739 FALSE ""
40 68 11 1.16089010765621 1.20022654146559 1.10085717759661 1.79371420852822 -2.48842621228079 2.60505745863721 1.0832822751857 FALSE ""
90 55 12 1.0287576923495 1.22544597166172 0.983372798400226 2.13008468546787 -3.04996178982579 2.87582477407319 1.69979658360649 FALSE ""
80 67 13 1.09042069000114 1.17396754471994 1.09336638843277 1.92251744097427 -3.19925468937807 2.99208172366448 1.10263124671908 FALSE ""
20 29 14 0.897887297369942 1.53340478103952 1.49951594884417 1.61438715571976 -2.1091935818689 1.61794304494301 1.69928932421239 FALSE ""
100 31 15 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
20 25 16 0.820533400703599 1.39874723772766 1.37919252702074 1.40623817621763 -2.51804333826654 2.82952602371208 0.001 FALSE ""
100 38 17 0.940413594512342 1.40467045170775 0.916070238248392 2.19933694642307 -2.84722274477216 2.60076139489841 0.629159217564753 FALSE ""
20 73 18 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
10 63 19 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 65 20 1.00696872673256 1.3550666662926 1.11808558366495 1.96700234021785 -2.54747271356305 2.38612666564367 0.862267559093894 FALSE ""
60 100 21 1.08129178202673 1.32704886834416 0.97380661036362 2.21857283521532 -2.85531693567762 2.34335673671635 0.628917063544232 FALSE ""
70 93 22 1.06614932364496 1.19853422178447 0.917101510200107 2.16058561967659 -2.49959557644014 2.49846986640928 1.36891757187257 FALSE ""
40 1 23 1.11991372603467 1.16371631142898 1.17211251230106 1.87167524254601 -3.86983699340935 3.9212423433933 1.33594023171189 FALSE ""
80 34 24 1.2189428887529 0.883348152270485 0.907745371150262 2.06037640627047 -2.28253828683852 2.00570542546286 1.75937414024735 FALSE ""
50 80 25 0.814897743453702 1.44863687876657 1.06791788788963 1.87670286721887 -2.07666844506131 1.94834620096566 0.001 FALSE ""
10 85 26 0.286399378809668 1.76506731257301 0.387545645335224 2.44370155921303 -0.324449389051085 -0.20439665683331 0.001 FALSE ""
80 24 27 1.13435591687647 1.12527112971779 1.10178046687694 1.90766244751647 -2.99419919104858 2.65786614451256 0.001 FALSE ""
50 79 28 0.965992324200302 1.40960814364544 0.98443613770156 1.98606443176979 -2.61325260388194 2.5955587751105 1.56924648143177 FALSE ""
10 88 29 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 4 30 1.13554735911282 1.22213390649473 1.04803111947311 2.03976860701722 -2.39564489506725 2.10727622802601 0.672173666741223 FALSE ""
80 86 31 0.958246171921778 1.35886587067303 0.908313405467714 2.28656830187374 -2.14666347571183 1.65707579761483 0.928224494069352 FALSE ""
100 11 32 0.986271471911774 1.23950827871831 0.982104342067383 2.06580333917751 -2.15765828722484 1.86085327101105 0.909059299118605 FALSE ""
70 54 33 1.06061593798014 1.19279189547618 1.09889999998304 1.88979808712647 -3.4203893292182 3.48944892216172 0.551053850717334 FALSE ""
30 1 34 0.972106634548918 0.95978557263193 0.738925533635117 2.1859127667576 -0.976459962414898 0.950023563374076 0.485658029043554 FALSE ""
60 53 35 1.10883832952187 1.00839223412914 1.03158439311494 2.1397327582079 -2.64686180771788 2.41572328992231 1.02143335534429 FALSE ""
100 41 36 0.81940858219083 1.49108208127822 0.871037145093166 2.11725032603491 -1.51432085479119 1.30178096867596 0.403480183586433 FALSE ""
50 29 37 0.832279990067253 1.36417413365791 0.729250055094725 2.32207275761775 -1.50878063491489 1.40610996629335 0.490075500722498 FALSE ""
30 21 38 1.16080824967215 1.20413667540694 0.806359006520335 2.46183972469281 -2.01712637322742 1.07169773581836 1.74227834348712 FALSE ""
70 21 39 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
80 51 40 1.09829722203549 1.2242736490118 1.24953973271105 1.88236242928402 -4.4974235592821 4.38447150576191 0.690136081644256 FALSE ""
40 54 41 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
10 87 42 0.573965840709602 2.04835155908177 1.5455300014102 1.16384674886002 -132.721667802751 226.288214683006 0.001 FALSE ""
70 35 43 0.802593777723919 1.40957294693491 0.973982883982432 1.9165245169765 -1.68558788709043 1.70900345957228 2.34470698504159 FALSE ""
50 10 44 0.964548631599401 1.3539355156082 0.776432085415319 2.51887806549231 -2.17527466006169 1.61691926079969 1.68669626483663 FALSE ""
70 7 45 0.956910532860586 1.04865827938518 1.01233882751585 1.80808089285056 -1.54955180186826 1.79971042971033 0.146012238910107 FALSE ""
20 80 46 0.737321402282808 1.45849796850962 0.999035037846182 1.65473260936116 -1.80482000803885 2.07030000920601 1.99373663563281 FALSE ""
40 17 47 1.15627512534147 1.31556057874363 0.973438724711327 2.48803724884322 -2.78021308980746 1.38043187060627 2.33980192750432 FALSE ""
90 29 48 0.994473970496692 1.31311758558287 0.953291032455109 2.22654352123698 -2.57379388211259 2.14286093804593 0.080273863568328 FALSE ""
60 11 49 1.06793626458552 1.23973071134505 1.02550512211744 1.94426704805164 -2.99257057028888 3.15922969768474 0.606316968333462 FALSE ""
10 32 50 0.809380105698882 1.21916209244213 0.598034866769251 2.37188557570529 -0.99254514283413 0.91182189844358 0.001 FALSE ""
80 49 51 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
70 80 52 0.987723061365861 1.39255187160525 0.978414562477815 2.22799268552141 -2.92843186838364 2.37058548166169 1.89590379164859 FALSE ""
70 22 53 0.79235214889249 1.67811621176039 1.06059361450914 2.24663789453445 -3.53060317520855 2.61876086931497 0.001 FALSE ""
10 18 54 1.2772169173734 1.28739426086559 0.999748727682976 2.28678719079667 -446.013431147452 544.707576114358 0.001 FALSE ""
70 30 55 0.927576276975763 1.55892163753613 1.1558209852746 1.86903179549148 -2.81332886125177 2.65100744240603 0.737353138557363 FALSE ""
10 22 56 0.683423823475188 1.64237986884171 0.498303702468844 2.84970273981458 -0.843059037302545 -1.26417366236842 0.001 FALSE ""
90 40 57 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
70 16 58 1.0482932201523 1.21522303771773 1.12936544636043 1.99716920154267 -2.12470953719552 1.49176236101439 0.416359750039135 FALSE ""
60 41 59 0.919559857048817 1.16341745801458 1.0496719782426 1.69632060074374 -1.7894216700879 2.11668643499363 0.001 FALSE ""
40 35 60 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
60 92 61 1.10363958944409 1.04881538017669 0.998511923633916 2.03939057043267 -2.13041727920928 1.86302745298555 1.5254351649741 FALSE ""
80 82 62 1.06922627888897 1.15050693500639 1.23755440292202 1.71677718873716 -2.30361741593013 2.23516728899069 1.5482729966558 FALSE ""
40 55 63 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
60 39 64 0.955741118396842 1.27760146106933 0.918673157351121 2.16845979604754 -1.72535031576846 1.43411260222839 2.19770077945007 FALSE ""
20 10 65 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 76 66 0.989715821120815 1.48784462602488 0.727144915673889 2.64868017424956 -2.61360708095349 1.7050588275458 0.938915946919439 FALSE ""
80 48 67 1.12223486054886 1.18833862048871 0.907627744818053 2.18693191983125 -2.49051819849947 2.12331399381729 0.342052773021608 FALSE ""
60 1 68 1.14827203385939 1.22241264462349 0.987694091460474 2.08718989564873 -2.72103655328184 2.35301315027138 1.38726538506506 FALSE ""
10 33 69 0.976210126900483 1.09091415527994 0.896599916587968 1.93959582873181 -3.52121610371912 4.26967625049368 1.25673548583686 FALSE ""
80 6 70 0.903436321248652 1.48627465311226 1.08191216423339 1.92958869653996 -2.78872861444303 2.75130716637756 1.74082694369498 FALSE ""
90 31 71 1.08905158567311 1.12163689319416 1.17119900240714 1.88679212870673 -3.1782881784504 2.91342247797822 1.54708817918448 FALSE ""
60 72 72 0.741895866199461 1.39448174981803 1.26521968963594 1.33467818670479 -2.39432281831245 2.82397172307732 0.001 FALSE ""
60 82 73 1.27879583954272 0.998541923612779 1.00283917267509 1.95946335844155 -2.97026488466809 3.23701244135599 1.11664771362133 FALSE ""
40 43 74 1.11225532386126 1.31582533850696 1.06124734119651 2.31725099378238 -3.10998274678135 1.86958721044275 2.29110769712791 FALSE ""
90 80 75 1.09333139917627 1.20111561892602 0.977981494134238 2.13988867533293 -2.02079290468161 1.41938575213037 2.32603086543519 FALSE ""
10 30 76 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
10 56 77 0.75908852795473 0.604016941401966 0.356584579482108 2.69798510534363 -0.898348093430285 0.946536598456869 0.001 FALSE ""
40 91 78 1.17375206515978 1.12270377346276 1.04496548179694 2.00897087614168 -2.6296921634168 2.16253754476558 1.13809583714525 FALSE ""
40 59 79 1.11214664427665 1.19130933754694 1.14032641478659 2.00219456564709 -2.91775850131376 2.63494113707625 0.59653056311599 FALSE ""
40 5 80 1.24237124660736 1.1437762199566 0.833249097320348 2.17917843061466 -1.85282832640049 1.67051608307912 1.6328074700716 FALSE ""
30 6 81 1.29224848506638 0.974532572882319 0.83548536172415 2.55336631609334 -2.08460717103462 1.31021539494707 1.27857392593178 FALSE ""
10 59 82 0.628849736778353 2.11962758633432 0.978114003111179 2.59350957824701 -22.9868962385403 13.0088300767586 1.12872923935306 FALSE ""
80 61 83 1.10134079523719 1.23278867295459 1.00064285794186 2.12737193552787 -1.88245603524679 1.41227089533802 1.20631824370546 FALSE ""
10 100 84 1.08066785789714 0.863558147327498 0.740328167542972 2.97540315924183 -5.81277646490055 13.2700864947054 0.001 FALSE ""
50 94 85 0.834790848422753 1.52746797095736 1.15797133368068 1.87267189620187 -1.7857995103591 1.33784072033971 2.28778315982923 FALSE ""
40 83 86 1.400358524458 0.993558507298388 1.45421730135348 1.52968829438186 -3.92764877169934 3.75421700386844 0.001 FALSE ""
70 10 87 1.08134631562959 1.16235017185364 0.903368174339795 2.22213137979661 -1.7472536293658 1.28032581258375 0.631913687304909 FALSE ""
20 87 88 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
100 75 89 1.06857806774976 1.13298264295497 0.728455428979039 2.41546163155336 -2.68417679097565 2.36377394361632 1.1551299153311 FALSE ""
90 79 90 0.870073030020932 1.42768260588995 1.07182070872137 2.00086541667727 -2.28411377925891 1.99855556605784 0.86967692420405 FALSE ""
60 68 91 0.893114769267984 1.48521342746885 1.08026933386168 1.85262175160161 -1.92784981682184 1.82090212598525 0.867980239193986 FALSE ""
30 70 92 1.34939751234331 0.906884839781365 0.80808804753489 2.41791300018847 -2.33876216261402 1.9563488411171 0.001 FALSE ""
100 36 93 0.954739134663855 1.56665274176895 1.05051222534251 2.15398405773941 -2.51407878099344 2.0665372459653 2.02606702708459 FALSE ""
50 51 94 0.782711282064701 1.40667314284294 0.761737079258852 2.06382955558747 -2.21344015031513 2.60025187120649 1.18564824174381 FALSE ""
30 41 95 0.922228120491704 1.4051147163688 1.11710068057035 1.9693406804633 -1.95068631322289 1.42039369524428 0.738489254974103 FALSE ""
40 62 96 0.877618074076376 1.27251548420948 0.881465409754003 2.09751078216891 -1.40031253773034 1.17746775605817 0.440399233578315 FALSE ""
50 93 97 0.840386658721458 1.48855703552693 0.838717023349884 2.33898308833281 -1.92537948719486 1.36688835501833 0.001 FALSE ""
10 68 98 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
40 39 99 1.08128046427085 1.18156422743097 1.15720326793455 2.04832237018805 -2.67989777607887 2.10963338987109 1.52712656758837 FALSE ""
80 94 100 1.03876865668596 1.28576454176259 0.894770563640372 2.17045683109204 -2.89617660226793 2.65676051855437 1.52935167074065 FALSE ""
80 97 101 0.950656674788182 1.50847677789233 1.05204041983309 2.04602221112533 -2.90387201189846 2.46463578889898 0.295787019069869 FALSE ""
60 43 102 1.14801277051165 1.10821335951228 0.772211631203517 2.53182491481844 -1.61255062183408 0.783212084648634 0.001 FALSE ""
